Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
IAG,IAMGOLD Corporation,7.48,+0.05,+0.67%,9.75M,16.781M,4.301B,5.12,+83.78%
CMG,"Chipotle Mexican Grill, Inc.",57.07,+0.30,+0.53%,10.384M,13.558M,76.894B,50.50,-4.10%
XOM,Exxon Mobil Corporation,112.20,+1.15,+1.04%,9.61M,17.978M,483.542B,14.88,+0.02%
NOK,Nokia Oyj,5.19,-0.01,-0.19%,9.475M,17.729M,27.972B,19.96,+33.42%
HL,Hecla Mining Company,6.07,+0.04,+0.66%,9.128M,22.33M,3.84B,50.58,+16.28%
KHC,The Kraft Heinz Company,26.66,-0.40,-1.48%,9.155M,12.527M,31.553B,12.17,-16.95%
KO,The Coca-Cola Company,71.35,+0.44,+0.62%,9.44M,16.419M,307.11B,28.65,+13.33%
VNET,"VNET Group, Inc.",7.75,+0.67,+9.46%,8.957M,6.669M,2.085B,--,+234.05%
JNPR,"Juniper Networks, Inc.",39.95,+0.02,+0.05%,8.491M,2.976M,13.359B,38.05,+8.18%
OKLO,Oklo Inc.,53.72,+2.39,+4.66%,8.741M,18.866M,7.917B,--,+623.99%
META,"Meta Platforms, Inc.",719.01,+5.44,+0.76%,8.602M,15.251M,1.808T,28.09,+35.84%
LYG,Lloyds Banking Group plc,4.1600,+0.1300,+3.23%,8.516M,24.788M,62.237B,12.24,+39.13%
DJT,Trump Media & Technology Group Corp.,18.95,+0.76,+4.18%,8.494M,7.89M,5.251B,17.07,-37.50%
HLN,Haleon plc,10.25,-0.01,-0.10%,8.423M,16.658M,46.044B,23.84,+20.73%
NEE,"NextEra Energy, Inc.",73.88,+0.86,+1.18%,8.561M,13.281M,152.092B,27.67,+2.45%
NLY,"Annaly Capital Management, Inc.",19.49,+0.17,+0.88%,8.57M,8.212M,11.793B,21.18,+2.63%
ABEV,Ambev S.A.,2.4700,-0.0200,-0.80%,8.251M,32.823M,38.772B,14.53,+19.90%
RLX,RLX Technology Inc.,2.4000,+0.0600,+2.56%,8.201M,4.485M,2.924B,34.29,+32.60%
